id,geometry_name,id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,longitude,latitude
emel_gira_stations.212,geom,421,421,421 - Alameda D. Afonso Henriques,A,14,41,0.34,active,2025-02-14T18:10:44Z,"[-9.13416, 38.73736, -9.13416, 38.73736]",-9.13416,38.73736
emel_gira_stations.11,geom,550,550,550 - Rua Fernando Curado Ribeiro / Alameda das Li,A,3,20,0.15,active,2025-02-14T18:11:02Z,"[-9.156487, 38.760871, -9.156487, 38.760871]",-9.156487,38.760871
emel_gira_stations.213,geom,420,420,420 - Av. Rovisco Pais / Av. Manuel da Maia,B,7,26,0.27,active,2025-02-14T18:10:45Z,"[-9.13672, 38.73617, -9.13672, 38.73617]",-9.13672,38.73617
emel_gira_stations.13,geom,556,556,556 - Alamedas das Linhas de Torres / Estrada da T,A,9,11,0.82,active,2025-02-14T18:11:03Z,"[-9.161462, 38.773489, -9.161462, 38.773489]",-9.161462,38.773489
emel_gira_stations.214,geom,484,484,484 - Rua Professor Vieira de Almeida,A,10,22,0.45,active,2025-02-14T18:10:45Z,"[-9.16658, 38.76081, -9.16658, 38.76081]",-9.16658,38.76081
emel_gira_stations.17,geom,223,223,223 - Praça do Rossio,A,1,21,0.05,active,2025-02-14T18:11:04Z,"[-9.138952, 38.713112, -9.138952, 38.713112]",-9.138952,38.713112
emel_gira_stations.216,geom,309,309,309 - Rua da Palma,B,7,10,0.7,active,2025-02-14T18:10:46Z,"[-9.13577, 38.71901, -9.13577, 38.71901]",-9.13577,38.71901
emel_gira_stations.25,geom,314,314,314 - Rua Marques da Silva / Rua António Pedro,A,2,12,0.17,active,2025-02-14T18:11:06Z,"[-9.135675, 38.729657, -9.135675, 38.729657]",-9.135675,38.729657
emel_gira_stations.217,geom,219,219,219 - Praça do Município,A,9,22,0.41,active,2025-02-14T18:10:46Z,"[-9.13951, 38.70797, -9.13951, 38.70797]",-9.13951,38.70797
emel_gira_stations.26,geom,316,316,316 - Rua António Pedro / Rua Pascoal de Melo,A,4,14,0.29,active,2025-02-14T18:11:07Z,"[-9.135356, 38.731424, -9.135356, 38.731424]",-9.135356,38.731424
emel_gira_stations.218,geom,304,304,304 - Avenida da Liberdade / São Jorge,A,15,16,0.94,active,2025-02-14T18:10:47Z,"[-9.14637, 38.72026, -9.14637, 38.72026]",-9.14637,38.72026
emel_gira_stations.29,geom,151,151,151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,A,5,24,0.21,active,2025-02-14T18:11:08Z,"[-9.108728, 38.770434, -9.108728, 38.770434]",-9.108728,38.770434
